game_genre_id,game_id,genre_id
0,994603,1
1,980502,1
2,981791,1
3,973391,1
4,301619,1
5,10392,1
6,983214,1
7,973376,1
8,996587,1
9,989789,1
10,1000286,1
11,997334,1
12,990490,1
13,997399,1
14,992499,1
15,999746,1
16,988100,1
17,998524,1
18,994282,1
19,992983,1
20,962958,1
21,999964,1
22,996160,1
23,997679,1
24,997357,1
25,998146,1
26,998286,1
27,1000248,1
28,996468,1
29,982433,1
30,974487,1
31,999889,1
32,313763,1
33,1000129,1
34,428016,1
35,997346,1
36,999952,1
37,998374,1
38,996873,1
39,998207,1
40,1000277,1
41,999153,1
42,995615,1
43,988809,1
44,996252,1
45,998976,1
46,997741,1
47,990400,1
48,997466,1
49,991228,1
50,997097,1
51,996053,1
52,998683,1
53,996211,1
54,1000601,1
55,999779,1
56,997554,1
57,997285,1
58,1000161,1
59,998038,1
60,996896,1
61,213511,1
62,1000019,1
63,999210,1
64,712696,1
65,999060,1
66,996681,1
67,995732,1
68,996273,1
69,999053,1
70,998261,1
71,998026,1
72,965255,1
73,999461,1
74,997366,1
75,984895,1
76,999861,1
77,998122,1
78,1000223,1
79,1000115,1
80,998796,1
81,999969,1
82,997954,1
83,998126,1
84,997248,1
85,998974,1
86,998447,1
87,366962,1
88,996084,1
89,998818,1
90,996576,1
91,996424,1
92,998897,1
93,996471,1
94,996443,1
95,997688,1
96,996163,1
97,996897,1
98,1000466,1
99,999100,1
100,998798,1
101,998819,1
102,997071,1
103,322366,1
104,816478,1
105,989155,1
106,959764,1
107,999139,1
108,1000452,1
109,996083,1
110,997718,1
111,997085,1
112,997159,1
113,996054,1
114,1000644,1
115,999138,1
116,998353,1
117,996106,1
118,999454,1
119,997312,1
120,1000258,1
121,997110,1
122,999342,1
123,998686,1
124,998515,1
125,998206,1
126,997787,1
127,996474,1
128,995844,1
129,997728,1
130,1000526,1
131,995643,1
132,999587,1
133,997853,1
134,1000310,1
135,1000640,1
136,997089,1
137,996711,1
138,1000200,1
139,995678,1
140,999475,1
141,997317,1
142,996363,1
143,999244,1
144,998232,1
145,997488,1
146,1000461,1
147,997765,1
148,1000478,1
149,996407,1
150,995767,1
151,998720,1
152,996484,1
153,1000670,1
154,999856,1
155,1000141,1
156,997052,1
