game_genre_id,game_id,genre_id
1,994603,1
2,980502,1
3,981791,1
4,973391,1
5,301619,1
6,10392,1
7,983214,1
8,973376,1
9,996587,1
10,989789,1
11,1000286,1
12,997334,1
13,990490,1
14,997399,1
15,992499,1
16,999746,1
17,988100,1
18,998524,1
19,994282,1
20,992983,1
21,962958,1
22,999964,1
23,996160,1
24,997679,1
25,997357,1
26,998146,1
27,998286,1
28,1000248,1
29,996468,1
30,982433,1
31,974487,1
32,999889,1
33,313763,1
34,1000129,1
35,428016,1
36,997346,1
37,999952,1
38,998374,1
39,996873,1
40,998207,1
41,1000277,1
42,999153,1
43,995615,1
44,988809,1
45,996252,1
46,998976,1
47,997741,1
48,990400,1
49,997466,1
50,991228,1
51,997097,1
52,996053,1
53,998683,1
54,996211,1
55,1000601,1
56,999779,1
57,997554,1
58,997285,1
59,1000161,1
60,998038,1
61,996896,1
62,213511,1
63,1000019,1
64,999210,1
65,712696,1
66,999060,1
67,996681,1
68,995732,1
69,996273,1
70,999053,1
71,998261,1
72,998026,1
73,965255,1
74,999461,1
75,997366,1
76,984895,1
77,999861,1
78,998122,1
79,1000223,1
80,1000115,1
81,998796,1
82,999969,1
83,997954,1
84,998126,1
85,997248,1
86,998974,1
87,998447,1
88,366962,1
89,996084,1
90,998818,1
91,996576,1
92,996424,1
93,998897,1
94,996471,1
95,996443,1
96,997688,1
97,996163,1
98,996897,1
99,1000466,1
100,999100,1
101,998798,1
102,998819,1
103,997071,1
104,322366,1
105,816478,1
106,989155,1
107,959764,1
108,999139,1
109,1000452,1
110,996083,1
111,997718,1
112,997085,1
113,997159,1
114,996054,1
115,1000644,1
116,999138,1
117,998353,1
118,996106,1
119,999454,1
120,997312,1
121,1000258,1
122,997110,1
123,999342,1
124,998686,1
125,998515,1
126,998206,1
127,997787,1
128,996474,1
129,995844,1
130,997728,1
131,1000526,1
132,995643,1
133,999587,1
134,997853,1
135,1000310,1
136,1000640,1
137,997089,1
138,996711,1
139,1000200,1
140,995678,1
141,999475,1
142,997317,1
143,996363,1
144,999244,1
145,998232,1
146,997488,1
147,1000461,1
148,997765,1
149,1000478,1
150,996407,1
151,995767,1
152,998720,1
153,996484,1
154,1000670,1
155,999856,1
156,1000141,1
157,997052,1
158,962463,1
159,996754,1
160,998293,1
161,995836,1
162,999838,1
163,1000328,1
164,1000406,1
165,983327,1
166,990715,1
167,998948,1
168,996305,1
169,999899,1
170,998946,1
171,995737,1
172,998630,1
173,997455,1
174,997451,1
175,999794,1
176,1000451,1
177,999217,1
178,999324,1
179,999462,1
180,999508,1
181,998574,1
182,995876,1
183,998040,1
184,998079,1
185,1000073,1
186,999319,1
187,998615,1
188,999001,1
189,999026,1
190,996310,1
191,995808,1
192,997922,1
193,999393,1
194,997595,1
195,997822,1
196,999352,1
197,1000650,1
198,997354,1
199,995960,1
200,998198,1
201,997712,1
202,1000427,1
203,995838,1
204,1000529,1
205,997871,1
206,998590,1
207,998230,1
208,997957,1
209,998563,1
210,998294,1
211,996806,1
212,999573,1
213,999793,1
214,998591,1
215,996158,1
216,999723,1
217,1000627,1
218,997961,1
219,996810,1
220,997066,1
221,996210,1
222,996296,1
223,997036,1
224,997627,1
225,996257,1
226,997070,1
227,997325,1
228,997298,1
229,999188,1
230,997435,1
231,997819,1
232,996123,1
233,1000651,1
234,996313,1
235,997564,1
236,997685,1
237,997264,1
238,999396,1
239,997594,1
240,1000128,1
241,999169,1
242,995582,1
243,999841,1
244,996192,1
245,997004,1
246,998454,1
247,998471,1
248,998118,1
249,999638,1
250,1000523,1
251,999913,1
252,999456,1
253,999480,1
254,998604,1
255,996879,1
256,998240,1
257,1000249,1
258,998227,1
259,996190,1
260,1000636,1
261,1000282,1
262,996411,1
263,995852,1
264,1000569,1
265,997127,1
266,990532,1
267,996118,1
268,995879,1
269,998197,1
270,997419,1
271,997683,1
272,997086,1
273,978045,1
274,997678,1
275,998468,1
276,996080,1
277,995968,1
278,995635,1
279,998689,1
280,999189,1
281,998592,1
282,996543,1
283,995700,1
284,1000373,1
285,996465,1
286,996413,1
287,1000109,1
288,996639,1
289,996626,1
290,997773,1
291,1000369,1
292,988069,1
293,999350,1
294,998725,1
295,999602,1
296,999847,1
297,1000391,1
298,997282,1
299,998029,1
300,995956,1
301,997923,1
302,997408,1
303,996281,1
304,995610,1
305,999721,1
306,995690,1
307,1000287,1
308,996957,1
309,996834,1
310,795426,1
311,995916,1
312,998957,1
313,1000002,1
314,998987,1
315,1000212,1
316,998918,1
317,995907,1
318,999898,1
319,998963,1
320,995991,1
321,1000080,1
322,996172,1
323,1000512,1
324,997316,1
325,998358,1
326,999376,1
327,1000290,1
328,996183,1
329,996074,1
330,1000426,1
331,998415,1
332,1000581,1
333,998620,1
334,997972,1
335,999110,1
336,998982,1
337,998875,1
338,998336,1
339,996137,1
340,996268,1
341,996702,1
342,999776,1
343,999925,1
344,999821,1
345,997956,1
346,999911,1
347,998188,1
348,1000234,1
349,998832,1
350,999135,1
351,999037,1
352,1000273,1
353,997088,1
354,997850,1
355,997967,1
356,996392,1
357,996063,1
358,998344,1
359,998761,1
360,999036,1
361,999107,1
362,995965,1
363,997179,1
364,1000231,1
365,996177,1
366,996482,1
367,999062,1
368,1000013,1
369,996644,1
370,996442,1
371,998372,1
372,998386,1
373,998403,1
374,998426,1
375,998432,1
376,998434,1
377,998456,1
378,998457,1
379,998531,1
380,998547,1
381,998586,1
382,998597,1
383,998598,1
384,998610,1
385,998623,1
386,998631,1
387,998640,1
388,998714,1
389,998754,1
390,998753,1
391,998750,1
392,998795,1
393,998813,1
394,998822,1
395,998823,1
396,998904,1
397,998890,1
398,998911,1
399,998909,1
400,998920,1
401,999016,1
402,999044,1
403,996860,1
404,997913,1
405,997951,1
406,997976,1
407,997995,1
408,998006,1
409,998089,1
410,998072,1
411,998099,1
412,998098,1
413,998156,1
414,998162,1
415,998167,1
416,998182,1
417,998193,1
418,998199,1
419,998214,1
420,998231,1
421,998233,1
422,998251,1
423,998254,1
424,998258,1
425,999101,1
426,999177,1
427,999175,1
428,999222,1
429,1000306,1
430,1000324,1
431,1000053,1
432,1000057,1
433,1000171,1
434,1000163,1
435,1000185,1
436,1000187,1
437,1000191,1
438,1000190,1
439,1000296,1
440,1000227,1
441,1000233,1
442,1000262,1
443,1000261,1
444,1000259,1
445,1000387,1
446,1000390,1
447,1000366,1
448,1000398,1
449,1000418,1
450,1000412,1
451,1000425,1
452,1000505,1
453,1000510,1
454,1000515,1
455,1000491,1
456,1000494,1
457,1000522,1
458,1000442,1
459,1000436,1
460,1000443,1
461,1000534,1
462,999608,1
463,999629,1
464,999649,1
465,999655,1
466,999647,1
467,999312,1
468,999373,1
469,999366,1
470,999353,1
471,999365,1
472,999389,1
473,999430,1
474,999459,1
475,995858,1
476,999714,1
477,999860,1
478,999826,1
479,999831,1
480,999829,1
481,999843,1
482,999844,1
483,1000000,1
484,999922,1
485,1000008,1
486,999931,1
487,999951,1
488,999907,1
489,999900,1
490,999928,1
491,999935,1
492,999941,1
493,999932,1
494,1000632,1
495,1000648,1
496,1000619,1
497,1000653,1
498,1000654,1
499,1000663,1
500,1000656,1
501,1000669,1
502,996316,1
503,995467,1
504,995485,1
505,995543,1
506,995542,1
507,995561,1
508,995563,1
509,995569,1
510,995587,1
511,995631,1
512,995657,1
513,995701,1
514,995733,1
515,995750,1
516,995785,1
517,995809,1
518,995828,1
519,995827,1
520,995851,1
521,995873,1
522,995877,1
523,996064,1
524,996100,1
525,996119,1
526,996124,1
527,996117,1
528,996139,1
529,996180,1
530,996199,1
531,995778,1
532,995544,1
533,995672,1
534,995673,1
535,995841,1
536,995926,1
537,996014,1
538,995989,1
539,995996,1
540,996013,1
541,996258,1
542,996272,1
543,996295,1
544,996292,1
545,996312,1
546,996807,1
547,997003,1
548,997007,1
549,997014,1
550,997012,1
551,997026,1
552,997027,1
553,996565,1
554,996564,1
555,996574,1
556,996582,1
557,996379,1
558,996365,1
559,996375,1
560,996415,1
561,996448,1
562,996454,1
563,996476,1
564,996491,1
565,996494,1
566,996502,1
567,996782,1
568,996808,1
569,996836,1
570,996852,1
571,996855,1
572,996871,1
573,996884,1
574,996885,1
575,996895,1
576,996900,1
577,996921,1
578,996936,1
579,996929,1
580,996934,1
581,996952,1
582,996659,1
583,996662,1
584,996687,1
585,996677,1
586,996690,1
587,996692,1
588,996669,1
589,996667,1
590,996713,1
591,997043,1
592,997048,1
593,997078,1
594,997106,1
595,997108,1
596,997138,1
597,997132,1
598,997152,1
599,997188,1
600,997201,1
601,997203,1
602,997222,1
603,997294,1
604,997299,1
605,997308,1
606,997311,1
607,997307,1
608,997318,1
609,997344,1
610,997796,1
611,997802,1
612,997832,1
613,997851,1
614,997864,1
615,997875,1
616,997818,1
617,997562,1
618,997570,1
619,997580,1
620,997592,1
621,997593,1
622,997600,1
623,997638,1
624,997634,1
625,997655,1
626,997667,1
627,997702,1
628,997699,1
629,997708,1
630,997428,1
631,997436,1
632,997437,1
633,997468,1
634,997478,1
635,997508,1
636,998094,1
637,999116,1
638,999375,1
639,996830,1
640,999451,1
641,997979,1
642,999503,1
643,995462,1
644,995469,1
645,995566,1
646,995577,1
647,995616,1
648,995665,1
649,995640,1
650,995638,1
651,995668,1
652,995694,1
653,995775,1
654,995815,1
655,995842,1
656,995865,1
657,996007,1
658,996001,1
659,995924,1
660,995964,1
661,995977,1
662,995978,1
663,995976,1
664,995994,1
665,996009,1
666,996114,1
667,996136,1
668,996173,1
669,996175,1
670,996186,1
671,996204,1
672,996220,1
673,996246,1
674,996304,1
675,996358,1
676,996359,1
677,996362,1
678,996360,1
679,996396,1
680,996425,1
681,996422,1
682,996427,1
683,996453,1
684,996462,1
685,996463,1
686,996466,1
687,996490,1
688,996509,1
689,996513,1
690,996575,1
691,996589,1
692,995460,1
693,995585,1
694,995457,1
695,995546,1
696,995747,1
697,996643,1
698,996649,1
699,996682,1
700,996621,1
701,996638,1
702,996655,1
703,996715,1
704,996788,1
705,996825,1
706,996817,1
707,996829,1
708,996867,1
709,996955,1
710,996951,1
711,996924,1
712,996939,1
713,997037,1
714,997039,1
715,997062,1
716,34834,1
717,997101,1
718,997121,1
719,997130,1
720,997162,1
721,997170,1
722,997175,1
723,997200,1
724,997228,1
725,997250,1
726,996400,1
727,997439,1
728,997487,1
729,997582,1
730,997584,1
731,997588,1
732,997621,1
733,997632,1
734,997657,1
735,997661,1
736,997674,1
737,997675,1
738,997724,1
739,997729,1
740,997793,1
741,997798,1
742,997794,1
743,997786,1
744,997789,1
745,997780,1
746,997823,1
747,997824,1
748,997843,1
749,997873,1
750,997807,1
751,997810,1
752,997862,1
753,997852,1
754,998519,1
755,998533,1
756,998529,1
757,998535,1
758,998616,1
759,998607,1
760,998636,1
761,998708,1
762,998810,1
763,998804,1
764,998816,1
765,998826,1
766,998824,1
767,998856,1
768,998878,1
769,998887,1
770,998894,1
771,998927,1
772,998944,1
773,998943,1
774,998959,1
775,998967,1
776,998973,1
777,998966,1
778,998991,1
779,999042,1
780,999105,1
781,999112,1
782,999123,1
783,999127,1
784,999142,1
785,999159,1
786,999184,1
787,999194,1
788,999213,1
789,999215,1
790,999262,1
791,999266,1
792,998189,1
793,998151,1
794,998213,1
795,998225,1
796,998229,1
797,230543,1
798,998256,1
799,998309,1
800,998328,1
801,998334,1
802,998339,1
803,998341,1
804,998359,1
805,998368,1
806,998369,1
807,998383,1
808,998402,1
809,998418,1
810,997907,1
811,997934,1
812,997944,1
813,997996,1
814,997998,1
815,998009,1
816,998018,1
817,998015,1
818,998048,1
819,1000052,1
820,1000054,1
821,1000195,1
822,1000137,1
823,1000135,1
824,1000211,1
825,1000303,1
826,1000148,1
827,1000144,1
828,1000133,1
829,1000298,1
830,1000297,1
831,1000183,1
832,1000241,1
833,1000245,1
834,1000267,1
835,1000271,1
836,1000060,1
837,1000082,1
838,1000087,1
839,1000216,1
840,1000225,1
841,1000314,1
842,1000380,1
843,1000389,1
844,1000394,1
845,1000413,1
846,1000407,1
847,1000435,1
848,1000428,1
849,1000438,1
850,1000503,1
851,1000502,1
852,1000500,1
853,1000489,1
854,1000531,1
855,1000475,1
856,1000633,1
857,1000599,1
858,1000605,1
859,1000610,1
860,1000440,1
861,1000450,1
862,999569,1
863,999594,1
864,999599,1
865,999618,1
866,999632,1
867,999620,1
868,999648,1
869,999645,1
870,999646,1
871,999662,1
872,999667,1
873,999316,1
874,999327,1
875,999322,1
876,999383,1
877,999400,1
878,999424,1
879,999489,1
880,999497,1
881,999501,1
882,999514,1
883,999523,1
884,999920,1
885,999924,1
886,999943,1
887,999978,1
888,999977,1
889,999981,1
890,999992,1
891,999708,1
892,999736,1
893,999734,1
894,999753,1
895,999758,1
896,999769,1
897,999781,1
898,999778,1
899,999816,1
900,999848,1
901,999853,1
902,999863,1
903,1000470,1
904,998484,1
905,996133,1
906,997804,1
907,997518,1
908,997412,1
909,998004,1
910,995458,1
911,995553,1
912,995572,1
913,995588,1
914,995645,1
915,995646,1
916,995667,1
917,995644,1
918,995850,1
919,995740,1
920,995802,1
921,995859,1
922,995863,1
923,995944,1
924,995935,1
925,995912,1
926,995953,1
927,995958,1
928,995992,1
929,995474,1
930,995820,1
931,996052,1
932,996090,1
933,996092,1
934,996103,1
935,996070,1
936,996076,1
937,996068,1
938,996078,1
939,996179,1
940,996196,1
941,996221,1
942,996108,1
943,997008,1
944,997033,1
945,997079,1
946,997075,1
947,997065,1
948,997080,1
949,997095,1
950,997120,1
951,997126,1
952,997145,1
953,997202,1
954,997219,1
955,997217,1
956,997224,1
957,997235,1
958,997242,1
959,997258,1
960,997265,1
961,997303,1
962,997314,1
963,997404,1
964,997406,1
965,997424,1
966,997423,1
967,997429,1
968,997464,1
969,997484,1
970,997489,1
971,997507,1
972,997520,1
973,997566,1
974,997565,1
975,997574,1
976,997625,1
977,997615,1
978,997614,1
979,997598,1
980,997609,1
981,997636,1
982,997651,1
983,997682,1
984,997677,1
985,997710,1
986,997717,1
987,997742,1
988,996364,1
989,996367,1
990,996421,1
991,996414,1
992,996436,1
993,996500,1
994,996501,1
995,996520,1
996,996457,1
997,996467,1
998,996472,1
999,996469,1
1000,996537,1
1001,996544,1
1002,996538,1
1003,996555,1
1004,996585,1
1005,996590,1
1006,996622,1
1007,996652,1
1008,996627,1
1009,996722,1
1010,996688,1
1011,996704,1
1012,996813,1
1013,996819,1
1014,997788,1
1015,997837,1
1016,997854,1
1017,996264,1
1018,996260,1
1019,996263,1
1020,996289,1
1021,996835,1
1022,996857,1
1023,996847,1
1024,996906,1
1025,996927,1
1026,996953,1
1027,996887,1
1028,997937,1
1029,995887,1
1030,997965,1
1031,998005,1
1032,998002,1
1033,998036,1
1034,998060,1
1035,998035,1
1036,998058,1
1037,998068,1
1038,998119,1
1039,998121,1
1040,998303,1
1041,998305,1
1042,998322,1
1043,998351,1
1044,998364,1
1045,998370,1
1046,998414,1
1047,998470,1
1048,998439,1
1049,998448,1
1050,998482,1
1051,998115,1
1052,998155,1
1053,998191,1
1054,998241,1
1055,998252,1
1056,998756,1
1057,998765,1
1058,998763,1
1059,998803,1
1060,998805,1
1061,998820,1
1062,998837,1
1063,998850,1
1064,998843,1
1065,998874,1
1066,998891,1
1067,998903,1
1068,998908,1
1069,998922,1
1070,998992,1
1071,998972,1
1072,999007,1
1073,999015,1
1074,999020,1
1075,999023,1
1076,999054,1
1077,999055,1
1078,999099,1
1079,999118,1
1080,999119,1
1081,999130,1
1082,999133,1
1083,999155,1
1084,999187,1
1085,999191,1
1086,999200,1
1087,999219,1
1088,999226,1
1089,999216,1
1090,999259,1
1091,999267,1
1092,998530,1
1093,998537,1
1094,998559,1
1095,998560,1
1096,998570,1
1097,998585,1
1098,998628,1
1099,998617,1
1100,998635,1
1101,999520,1
1102,999505,1
1103,999303,1
1104,999314,1
1105,999329,1
1106,999362,1
1107,999361,1
1108,999405,1
1109,999407,1
1110,999416,1
1111,999413,1
1112,999427,1
1113,999432,1
1114,999426,1
1115,999447,1
1116,999476,1
1117,999468,1
1118,999479,1
1119,999490,1
1120,999949,1
1121,999987,1
1122,999963,1
1123,999915,1
1124,999756,1
1125,999752,1
1126,999744,1
1127,987691,1
1128,999815,1
1129,999761,1
1130,999763,1
1131,999852,1
1132,999798,1
1133,999835,1
1134,999584,1
1135,999609,1
1136,999663,1
1137,1000604,1
1138,1000598,1
1139,1000634,1
1140,1000393,1
1141,1000408,1
1142,1000538,1
1143,1000524,1
1144,1000519,1
1145,1000492,1
1146,1000508,1
1147,1000532,1
1148,1000084,1
1149,1000093,1
1150,1000095,1
1151,1000102,1
1152,1000131,1
1153,1000094,1
1154,1000089,1
1155,1000065,1
1156,1000147,1
1157,1000158,1
1158,1000168,1
1159,1000136,1
1160,1000209,1
1161,1000202,1
1162,1000224,1
1163,1000238,1
1164,1000237,1
1165,1000253,1
1166,1000312,1
1167,995934,1
1168,999441,1
1169,997731,1
1170,995647,1
1171,995652,1
1172,995654,1
1173,995697,1
1174,995703,1
1175,995459,1
1176,995466,1
1177,995550,1
1178,995570,1
1179,995581,1
1180,995709,1
1181,995824,1
1182,995831,1
1183,995814,1
1184,995847,1
1185,995862,1
1186,995764,1
1187,995773,1
1188,995921,1
1189,995961,1
1190,995955,1
1191,995951,1
1192,995969,1
1193,995972,1
1194,996169,1
1195,996174,1
1196,996178,1
1197,996189,1
1198,996187,1
1199,996202,1
1200,996216,1
1201,996107,1
1202,996111,1
1203,996113,1
1204,996152,1
1205,996059,1
1206,996057,1
1207,996002,1
1208,995990,1
1209,995765,1
1210,995774,1
1211,997791,1
1212,997772,1
1213,997774,1
1214,997790,1
1215,997777,1
1216,997799,1
1217,997820,1
1218,997821,1
1219,997839,1
1220,997840,1
1221,997844,1
1222,997557,1
1223,997572,1
1224,997577,1
1225,997571,1
1226,997596,1
1227,997605,1
1228,997635,1
1229,997623,1
1230,997658,1
1231,997684,1
1232,997689,1
1233,997705,1
1234,997735,1
1235,997721,1
1236,997726,1
1237,997725,1
1238,995456,1
1239,997402,1
1240,997422,1
1241,331196,1
1242,997456,1
1243,997474,1
1244,997476,1
1245,997513,1
1246,997515,1
1247,997517,1
1248,997521,1
1249,997020,1
1250,997030,1
1251,997055,1
1252,997072,1
1253,997098,1
1254,997124,1
1255,997160,1
1256,997164,1
1257,997177,1
1258,997215,1
1259,997208,1
1260,997206,1
1261,997223,1
1262,997255,1
1263,997246,1
1264,997262,1
1265,997289,1
1266,997305,1
1267,997315,1
1268,997306,1
1269,997324,1
1270,997332,1
1271,997329,1
1272,997336,1
1273,997337,1
1274,997347,1
1275,997349,1
1276,997348,1
1277,998327,1
1278,998317,1
1279,998296,1
1280,998382,1
1281,998387,1
1282,998412,1
1283,998450,1
1284,998460,1
1285,998458,1
1286,998579,1
1287,998601,1
1288,998602,1
1289,998584,1
1290,998621,1
